,Test,Subject,School_Avg,State_avg,Year
0,ACT,English,19.4,24,2018
1,ACT,Math,20.266666666666666,24,2018
2,ACT,Reading,20.466666666666665,24,2018
3,ACT,Science,19.7,23,2018
4,PSAT,Math,448.1388888888889,478,2018
5,PSAT,Reading and Writing,447.27777777777777,478,2018
6,SAT,Math,488.72222222222223,543,2018
7,SAT,Reading and Writing,496.22222222222223,542,2018
0,ACT,English,19.4,24,2019
1,ACT,Math,20.266666666666666,24,2019
2,ACT,Reading,20.466666666666665,24,2019
3,ACT,Science,19.7,23,2019
4,PSAT,Math,448.1388888888889,478,2019
5,PSAT,Reading and Writing,447.27777777777777,478,2019
6,SAT,Math,488.72222222222223,543,2019
7,SAT,Reading and Writing,496.22222222222223,542,2019
0,ACT,English,19.4,24,2020
1,ACT,Math,20.266666666666666,24,2020
2,ACT,Reading,20.466666666666665,24,2020
3,ACT,Science,19.7,23,2020
4,PSAT,Math,448.1388888888889,478,2020
5,PSAT,Reading and Writing,447.27777777777777,478,2020
6,SAT,Math,488.72222222222223,543,2020
7,SAT,Reading and Writing,496.22222222222223,542,2020
